method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,processing_time,sfm_file_path,input_folder,output_folder,initial_points,failed_sfm_file_path,gsplat_cfg_file_path,plot_series,num_images_jitter
colmap,60,42,,14845,,,,,0,10,minfarthestpose,60,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,26.158340454101562,0.1889503002166748,0.8658013939857483,1000000,0.00023013997997622937,0.019907232373952866,,,0.7805270775329608,0.1859011778767024,14845,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,counter_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000,0.0199,0.000942,60,1.009266,,,,97.29622483253479,7482,7482,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n60_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n60_s42_default_minfarthestpose_sharedcam,counter_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,14845,,,colmap,60.0
colmap,70,42,,20431,,,,,0,10,minfarthestpose,70,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,26.725461959838867,0.18234191834926605,0.8777703046798706,1000000,0.00021438101248349994,0.018934760242700577,,,0.8021079386845279,0.17802700660067874,20431,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,counter_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000,0.0189,0.000872,70,0.987931,,,,136.9727382659912,7542,7542,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n70_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n70_s42_default_minfarthestpose_sharedcam,counter_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,20431,,,colmap,70.0
colmap,80,42,,28563,,,,,0,10,minfarthestpose,80,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,27.375858306884766,0.1690811663866043,0.8878010511398315,1000000,0.00019333191448822618,0.01627672277390957,,,0.8282038984436582,0.1686240420885094,28563,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n80_s42_default_minfarthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n80_s42_default_minfarthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,counter_2_n80_s42_default_minfarthestpose_sharedcam_i80_gteval_steps15000,0.0163,0.000772,80,0.978881,,,,183.8114914894104,7602,7602,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n80_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n80_s42_default_minfarthestpose_sharedcam,counter_2_n80_s42_default_minfarthestpose_sharedcam_i80_gteval_steps15000_val_step14999.json,28563,,,colmap,80.0
colmap,90,42,,35747,,,,,0,10,minfarthestpose,90,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,27.590927124023438,0.16619718074798584,0.8896318674087524,1000000,0.00018561838078312576,0.018596289679408073,,,0.8350375451539691,0.16671853735468584,35747,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n90_s42_default_minfarthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n90_s42_default_minfarthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,counter_2_n90_s42_default_minfarthestpose_sharedcam_i90_gteval_steps15000,0.0186,0.00076,90,0.994265,,,,231.36329460144043,7666,7666,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n90_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n90_s42_default_minfarthestpose_sharedcam,counter_2_n90_s42_default_minfarthestpose_sharedcam_i90_gteval_steps15000_val_step14999.json,35747,,,colmap,90.0
colmap,100,42,,41914,,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,27.93535614013672,0.16450491547584534,0.8961127400398254,1000000,0.0001695939718047157,0.015633879229426384,,,0.8462504524546369,0.16280968081820685,41914,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000,0.0156,0.000691,100,0.993642,,,,292.9965500831604,7726,7726,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n100_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n100_s42_default_minfarthestpose_sharedcam,counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000_val_step14999.json,41914,,,colmap,100.0
vggt,10,42,0.0,100000,random,,,,0,10,minfarthestpose,10,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,15.224120140075684,0.46982941031455994,0.4588468670845032,1000000,0.00834029633551836,0.6746309995651245,,,0.16667424598400127,0.41183092676032484,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n10_s42_c0.0_p100000_random_minfarthestpose_i10_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n10_s42_c0.0_p100000_random_minfarthestpose_i10_gteval_steps15000/stats/val_step14999.json,counter_2_n10_s42_c0.0_p100000_random_minfarthestpose_i10_gteval_steps15000,0.6747,0.046283,10,4.883596,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n10_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,counter_2_n10_s42_c0.0_p100000_random_minfarthestpose,counter_2_n10_s42_c0.0_p100000_random_minfarthestpose_i10_gteval_steps15000_val_step14999.json,100000,,,vggt,10.0
vggt,20,42,0.0,100000,random,,,,0,10,minfarthestpose,20,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,17.897125244140625,0.3656599223613739,0.5332370400428772,1000000,0.009569959715008736,0.3811827003955841,,,0.3239795186831008,0.3550297630501332,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n20_s42_c0.0_p100000_random_minfarthestpose_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n20_s42_c0.0_p100000_random_minfarthestpose_i20_gteval_steps15000/stats/val_step14999.json,counter_2_n20_s42_c0.0_p100000_random_minfarthestpose_i20_gteval_steps15000,0.3814,0.043451,20,4.908029,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n20_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,counter_2_n20_s42_c0.0_p100000_random_minfarthestpose,counter_2_n20_s42_c0.0_p100000_random_minfarthestpose_i20_gteval_steps15000_val_step14999.json,100000,,,vggt,20.0
vggt,30,42,0.0,100000,random,,,,0,10,minfarthestpose,30,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,18.8387508392334,0.3141652047634125,0.5609233975410461,1000000,0.008692986331880093,0.34816214442253113,,,0.3893947447562388,0.3299530755145921,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n30_s42_c0.0_p100000_random_minfarthestpose_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n30_s42_c0.0_p100000_random_minfarthestpose_i30_gteval_steps15000/stats/val_step14999.json,counter_2_n30_s42_c0.0_p100000_random_minfarthestpose_i30_gteval_steps15000,0.3487,0.036323,30,4.836201,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n30_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,counter_2_n30_s42_c0.0_p100000_random_minfarthestpose,counter_2_n30_s42_c0.0_p100000_random_minfarthestpose_i30_gteval_steps15000_val_step14999.json,100000,,,vggt,30.0
vggt,40,42,0.0,100000,random,,,,0,10,minfarthestpose,40,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,19.15398406982422,0.2938864827156067,0.5738909244537354,1000000,0.008003419265151024,0.38038191199302673,,,0.41533347590547476,0.3196024997916249,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n40_s42_c0.0_p100000_random_minfarthestpose_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n40_s42_c0.0_p100000_random_minfarthestpose_i40_gteval_steps15000/stats/val_step14999.json,counter_2_n40_s42_c0.0_p100000_random_minfarthestpose_i40_gteval_steps15000,0.3803,0.032005,40,4.483415,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n40_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,counter_2_n40_s42_c0.0_p100000_random_minfarthestpose,counter_2_n40_s42_c0.0_p100000_random_minfarthestpose_i40_gteval_steps15000_val_step14999.json,100000,,,vggt,40.0
vggt,50,42,0.0,100000,random,,,,0,10,minfarthestpose,50,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,19.03731346130371,0.3023765981197357,0.5784945487976074,1000000,0.007548722438514233,0.39263004064559937,,,0.410624275082036,0.32136422121971653,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n50_s42_c0.0_p100000_random_minfarthestpose_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n50_s42_c0.0_p100000_random_minfarthestpose_i50_gteval_steps15000/stats/val_step14999.json,counter_2_n50_s42_c0.0_p100000_random_minfarthestpose_i50_gteval_steps15000,0.3927,0.03126,50,4.604761,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n50_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,counter_2_n50_s42_c0.0_p100000_random_minfarthestpose,counter_2_n50_s42_c0.0_p100000_random_minfarthestpose_i50_gteval_steps15000_val_step14999.json,100000,,,vggt,50.0
vggt,60,42,0.0,100000,random,,,,0,10,minfarthestpose,60,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,19.74547004699707,0.2845265567302704,0.5979784727096558,1000000,0.007439553737640381,0.37929052114486694,,,0.4461509375466861,0.3097272746561189,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n60_s42_c0.0_p100000_random_minfarthestpose_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n60_s42_c0.0_p100000_random_minfarthestpose_i60_gteval_steps15000/stats/val_step14999.json,counter_2_n60_s42_c0.0_p100000_random_minfarthestpose_i60_gteval_steps15000,0.3795,0.030852,60,4.485466,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n60_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,counter_2_n60_s42_c0.0_p100000_random_minfarthestpose,counter_2_n60_s42_c0.0_p100000_random_minfarthestpose_i60_gteval_steps15000_val_step14999.json,100000,,,vggt,60.0
vggt,70,42,0.0,100000,random,,,,0,10,minfarthestpose,70,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,20.209012985229492,0.2791377604007721,0.6161238551139832,1000000,0.007753706071525812,0.35588815808296204,,,0.46867281825918905,0.3027484266204571,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n70_s42_c0.0_p100000_random_minfarthestpose_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n70_s42_c0.0_p100000_random_minfarthestpose_i70_gteval_steps15000/stats/val_step14999.json,counter_2_n70_s42_c0.0_p100000_random_minfarthestpose_i70_gteval_steps15000,0.356,0.031055,70,4.444537,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n70_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,counter_2_n70_s42_c0.0_p100000_random_minfarthestpose,counter_2_n70_s42_c0.0_p100000_random_minfarthestpose_i70_gteval_steps15000_val_step14999.json,100000,,,vggt,70.0
vggt,80,42,0.0,100000,random,,,,0,10,minfarthestpose,80,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,20.53877830505371,0.27467066049575806,0.6277803778648376,1000000,0.007485846523195505,0.35863402485847473,,,0.484353732489548,0.2978673290181695,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n80_s42_c0.0_p100000_random_minfarthestpose_i80_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n80_s42_c0.0_p100000_random_minfarthestpose_i80_gteval_steps15000/stats/val_step14999.json,counter_2_n80_s42_c0.0_p100000_random_minfarthestpose_i80_gteval_steps15000,0.3586,0.029914,80,4.47013,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n80_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,counter_2_n80_s42_c0.0_p100000_random_minfarthestpose,counter_2_n80_s42_c0.0_p100000_random_minfarthestpose_i80_gteval_steps15000_val_step14999.json,100000,,,vggt,80.0
vggt,90,42,0.0,100000,random,,,,0,10,minfarthestpose,90,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,19.927597045898438,0.2940928339958191,0.6140936017036438,1000000,0.007487339898943901,0.3956444561481476,,,0.4530426023686528,0.3084915316225546,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n90_s42_c0.0_p100000_random_minfarthestpose_i90_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n90_s42_c0.0_p100000_random_minfarthestpose_i90_gteval_steps15000/stats/val_step14999.json,counter_2_n90_s42_c0.0_p100000_random_minfarthestpose_i90_gteval_steps15000,0.3956,0.030141,90,4.47758,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n90_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,counter_2_n90_s42_c0.0_p100000_random_minfarthestpose,counter_2_n90_s42_c0.0_p100000_random_minfarthestpose_i90_gteval_steps15000_val_step14999.json,100000,,,vggt,90.0
vggt,100,42,0.0,100000,random,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,indoor,20.050086975097656,0.291461318731308,0.6177743673324585,1000000,0.007659002672880888,0.3872610032558441,,,0.4590878210492224,0.30653021430498645,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_c0.0_p100000_random_minfarthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_c0.0_p100000_random_minfarthestpose_i100_gteval_steps15000/stats/val_step14999.json,counter_2_n100_s42_c0.0_p100000_random_minfarthestpose_i100_gteval_steps15000,0.3873,0.030482,100,4.485239,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n100_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,counter_2_n100_s42_c0.0_p100000_random_minfarthestpose,counter_2_n100_s42_c0.0_p100000_random_minfarthestpose_i100_gteval_steps15000_val_step14999.json,100000,,,vggt,100.0
